transaction_id,user_id,transaction_amount,transaction_location,merchant_id,transaction_time,device_type,previous_transactions,failed_transactions,account_age_days,user_credit_score,is_foreign_transaction,is_high_risk_country,is_vpn_used,merchant_category,transaction_channel,user_income,is_account_compromised,user_location,is_fraud
0,2365,5258.94,FL,374,1673,mobile,19,4,838,326,0,1,1,grocery,online,192879.29,0,NY,1
1,3393,6552.68,OH,952,416,tablet,14,12,593,728,1,1,0,electronics,online,137804.42,0,TX,1
2,2448,6632.4,IL,837,1681,mobile,58,0,1983,563,1,0,0,grocery,online,26683.92,1,OH,1
3,1327,8641.29,FL,141,979,tablet,74,16,1095,316,0,0,1,entertainment,mobile,29297.98,1,GA,1
4,5897,8768.4,TX,790,2234,mobile,80,59,3434,665,1,1,1,grocery,in-store,81811.18,1,CA,1
5,4392,1117.8,MI,116,695,tablet,33,28,717,591,0,0,0,travel,online,182544.49,1,IL,1
6,5668,4725.4,NY,222,377,desktop,88,71,2133,625,1,0,0,entertainment,online,141023.55,0,FL,0
7,5827,5433.39,OH,488,57,mobile,38,27,1973,367,0,0,0,entertainment,mobile,107755.33,1,IL,0
8,1485,9594.36,NY,603,2093,desktop,38,28,2905,618,0,1,1,grocery,online,131421.91,0,OH,1
9,6907,1393.64,GA,545,1216,mobile,20,11,1395,334,1,0,0,retail,in-store,65542.41,1,IL,0
10,7974,3964.49,GA,511,2246,mobile,62,9,3380,673,1,1,1,entertainment,mobile,91858.12,0,OH,1
11,3785,5626.6,WA,257,1179,tablet,79,14,3621,818,1,1,1,travel,in-store,180568.48,0,FL,1
12,9752,87.94,GA,787,605,mobile,95,42,1452,643,1,0,0,travel,online,193947.27,1,NV,1
13,5566,3509.72,FL,313,962,mobile,90,72,1683,649,1,1,1,retail,online,49435.89,0,CA,1
14,3324,6499.33,MI,137,1703,tablet,8,3,1583,433,1,1,1,electronics,in-store,160184.59,1,NY,1
15,9271,3874.05,MI,867,583,tablet,12,5,736,353,0,0,1,electronics,in-store,184970.35,0,NV,0
16,2248,8925.51,GA,468,396,mobile,52,45,44,845,0,0,1,travel,mobile,33933.75,1,TX,1
17,5635,8691.37,GA,783,394,mobile,54,11,3594,449,0,1,1,retail,mobile,87445.35,1,FL,1
18,5500,2840.75,WA,748,2122,tablet,43,34,1398,848,1,1,0,travel,in-store,53348.46,0,NY,1
19,1580,2370.65,MI,150,2248,tablet,98,48,1791,627,0,1,0,travel,online,65339.91,1,TX,1
20,5907,8732.93,TX,822,1001,mobile,91,51,1040,547,0,1,0,entertainment,online,54436.21,0,IL,0
21,8033,9045.06,IL,163,1774,mobile,55,35,3557,322,0,0,1,grocery,in-store,115311.24,0,GA,1
22,7240,592.75,GA,333,2167,desktop,29,15,2012,639,1,1,0,travel,online,143939.43,1,TX,1
23,3197,3358.78,TX,837,699,mobile,40,36,873,702,1,1,0,retail,in-store,29363.59,1,MI,1
24,2453,8447.56,TX,935,227,mobile,87,3,1126,739,0,1,1,electronics,online,199253.72,0,OH,1
25,6535,7820.31,GA,195,1683,tablet,74,64,863,536,0,0,1,grocery,mobile,88484.49,1,MI,1
26,2231,234.81,FL,346,1143,desktop,40,38,590,485,0,0,0,electronics,in-store,153335.01,1,FL,0
27,3584,7357.47,NY,535,1811,desktop,78,6,3177,525,1,0,1,travel,in-store,170385.26,0,OH,1
28,6184,2927.2,FL,248,1357,tablet,42,10,3350,585,0,1,0,entertainment,in-store,141289.5,0,MI,0
29,3311,654.31,GA,996,435,mobile,0,0,262,509,1,1,0,electronics,online,134081.43,1,WA,1
30,7430,8302.16,NY,112,2031,desktop,85,80,3473,510,0,0,0,grocery,online,156521.89,0,FL,0
31,6106,941.49,IL,786,1875,mobile,51,17,1015,542,1,1,1,retail,in-store,38422.52,0,NV,1
